/Users/rmak/CLionProjects/DiningPhilosophers-timeline/cmake-build-debug/DiningPhilosophers_timeline
Time  Servings  Philosopher 0  Philosopher 1  Philosopher 2  Philosopher 3  Philosopher 4  Philosopher 5  Philosopher 6  Philosopher 7  Philosopher 8  Philosopher 9
  0      50       Thinking       Thinking       Thinking       Thinking       Thinking       Arrived        Arrived        Arrived        Arrived        Arrived
  1      50       Thinking       Thinking       Thinking       Thinking       Thinking       Thinking       Thinking       Thinking       Thinking       Thinking
  2      50       Thinking       Thinking       Thinking       Thinking       Thinking       Thinking       Thinking       Thinking       Thinking       Thinking
  3      48       Thinking       Thinking       Thinking       Thinking       Thinking       *Filling*      *Filling*      Thinking       Thinking       Thinking
  4      46       Thinking       Thinking       Thinking       *Filling*      Waiting        *Eating*       *Eating*       Thinking       Thinking       *Filling*
  5      45       Waiting        *Filling*      Thinking       *Eating*       Waiting        *Eating*       *Eating*       Waiting        Thinking       *Eating*
  6      44       Waiting        *Eating*       Waiting        *Eating*       Waiting        *Eating*       Thinking       *Filling*      Waiting        *Eating*
  7      44       Waiting        *Eating*       Waiting        Thinking       Waiting        *Eating*       Thinking       *Eating*       Waiting        *Eating*
  8      42       Waiting        Thinking       *Filling*      Thinking       *Filling*      Thinking       Thinking       *Eating*       Waiting        *Eating*
  9      41       *Filling*      Thinking       *Eating*       Thinking       *Eating*       Thinking       Thinking       *Eating*       Waiting        Thinking
 10      40       *Eating*       Thinking       *Eating*       Thinking       *Eating*       Thinking       Thinking       Thinking       *Filling*      Thinking
 11      39       *Eating*       Waiting        *Eating*       Thinking       Thinking       *Filling*      Thinking       Thinking       *Eating*       Thinking
 12      39       *Eating*       Waiting        Thinking       Thinking       Thinking       *Eating*       Waiting        Thinking       *Eating*       Thinking
 13      38       Thinking       Waiting        Thinking       *Filling*      Thinking       *Eating*       Waiting        Thinking       Thinking       Waiting
 14      37       Thinking       Waiting        Thinking       *Eating*       Thinking       *Eating*       Waiting        *Filling*      Thinking       Waiting
 15      37       Thinking       Waiting        Thinking       *Eating*       Thinking       *Eating*       Waiting        *Eating*       Thinking       Waiting
 16      37       Thinking       Waiting        Thinking       *Eating*       Thinking       Thinking       Waiting        *Eating*       Thinking       Waiting
 17      36       *Filling*      Waiting        Waiting        *Eating*       Waiting        Thinking       Waiting        *Eating*       Thinking       Waiting
 18      34       *Eating*       Waiting        *Filling*      Thinking       *Filling*      Thinking       Waiting        *Eating*       Thinking       Waiting
 19      32       *Eating*       Waiting        *Eating*       Thinking       *Eating*       Thinking       *Filling*      Thinking       *Filling*      Waiting
 20      32       Thinking       Waiting        *Eating*       Thinking       *Eating*       Thinking       *Eating*       Thinking       *Eating*       Waiting
 21      32       Thinking       Waiting        *Eating*       Thinking       *Eating*       Thinking       *Eating*       Thinking       *Eating*       Waiting
 22      30       Thinking       *Filling*      Thinking       Thinking       Thinking       *Filling*      Thinking       Thinking       *Eating*       Waiting
 23      28       Waiting        *Eating*       Thinking       *Filling*      Thinking       *Eating*       Thinking       Thinking       Thinking       *Filling*
 24      28       Waiting        *Eating*       Thinking       *Eating*       Thinking       *Eating*       Thinking       Thinking       Thinking       *Eating*
 25      27       Waiting        *Eating*       Waiting        *Eating*       Thinking       *Eating*       Thinking       *Filling*      Thinking       *Eating*
 26      26       Waiting        *Eating*       Waiting        Thinking       *Filling*      Thinking       Waiting        *Eating*       Waiting        *Eating*
 27      24       *Filling*      Thinking       *Filling*      Thinking       *Eating*       Thinking       Waiting        *Eating*       Waiting        Thinking
 28      24       *Eating*       Thinking       *Eating*       Thinking       *Eating*       Thinking       Waiting        *Eating*       Waiting        Thinking
